Date,Prix Actuel,Prix Predit,Product Code
2020-08-13,16.31,16.31,0811843513
2022-03-13,17.8,17.8,081187754X
2020-01-26,3.53,10.87,0812986490
2020-04-15,22.49,22.489999999999995,0812987055
2020-11-12,26.99,26.6,0824835158
2022-12-04,4.99,3.59,0843112387
2019-12-12,13.97,13.969999999999999,0880794968
2019-12-30,13.88,13.879999999999999,0880794968
2022-02-17,8.99,8.989999999999998,0882849719
2021-10-28,7.99,6.29,0887246796
2022-01-16,2.99,2.99,0887434460
2022-04-27,3.57,3.57,0887434959
2022-05-01,3.57,3.57,0887434959
2022-06-12,15.94,15.94,0916856011
2022-07-07,4.98,4.980000000000001,0920668372
2022-09-23,4.98,4.980000000000001,0920668372
2022-11-22,4.98,4.980000000000001,0920668372
2022-12-06,4.98,4.980000000000001,0920668372
2022-12-01,7.99,7.989999999999999,0956932304
2020-12-10,11.35,11.350000000000001,0961320753
2023-02-14,9.89,9.89,0973410450
2021-12-16,29.95,29.949999999999996,0976990709
2018-02-28,6.6,6.6,0981805221
2018-12-17,20.35,16.96,0982754043
2022-03-23,17.38,17.379999999999995,0984782850
2022-06-15,24.49,24.489999999999995,0984782850
2022-10-22,35.95,35.95,0984782850
2021-09-27,12.95,12.95,0988595613
2021-08-23,28.6,28.6,0989496422
2020-04-14,9.19,9.19,098970016X
2019-12-12,6.99,6.99,0996764135
2022-12-14,6.99,6.99,1071366319
2021-12-30,9.99,9.990000000000002,1079520015
2021-12-09,4.59,4.59,1082823961
2022-03-13,4.58,4.59,1082823961
2019-12-15,7.29,7.290000000000003,1101981873
2019-02-11,16.7,16.7,1101986670
2020-05-10,51.46,10.33,1118425189
2022-10-11,15.86,15.86,1223081273
2022-10-11,15.86,15.86,1223081273
2022-12-29,15.97,15.97,1223081273
2022-06-02,16.79,16.79,1250018315
2021-10-22,12.79,12.79,1250029627
2022-07-31,8.99,8.99,1250075734
2020-01-25,5.98,5.980000000000002,1250083257
2020-10-14,15.29,15.29,1250108861
2021-01-28,15.29,15.29,1250108861
2021-04-15,7.62,7.620000000000001,1250123038
2021-05-10,11.99,11.99,1250147751
2022-02-23,10.79,10.79,1250147751
2021-06-20,8.44,8.44,125015782X
2022-08-01,10.19,10.19,125015782X
2022-12-14,10.19,10.19,125015782X
2021-06-17,12.99,12.989999999999998,1250170974
2022-11-21,14.99,14.989999999999998,1250170974
2021-04-01,14.99,14.990000000000002,1250183502
2022-05-20,14.99,14.99,1250186927
2021-12-25,8.48,8.48,1250220009
2022-04-03,14.49,14.490000000000002,1250223180
2022-06-16,14.49,14.490000000000002,1250223180
2022-06-21,14.49,14.490000000000002,1250223180
2022-12-10,11.69,11.69,1250229537
2022-06-12,18.49,18.49,1250240301
2021-07-03,15.29,15.29,1250256410
2021-12-24,12.99,12.99,1250301696
2022-02-09,12.99,12.99,1250301696
2022-03-16,12.99,12.99,1250301696
2022-05-10,15.75,15.75,1250301696
2023-01-10,12.99,12.99,1250301696
2021-11-29,8.21,8.21,1250317460
2020-08-16,13.92,13.920000000000002,1259584194
2022-01-29,15.8,15.800000000000004,1259862410
2022-05-08,15.8,15.800000000000004,1259862410
2022-05-20,15.8,15.800000000000004,1259862410
2021-08-09,42.2,42.2,126046752X
2022-09-14,15.75,47.84,1319103324
2021-09-15,18.21,18.21,132853104X
2022-05-26,5.0,5.0,1338087533
2021-04-24,20.49,20.49,1338132326
2021-12-18,20.49,20.49,1338132326
2020-02-07,6.94,7.03,1338139320
2022-06-17,21.91,21.91,1338216791
2022-02-27,7.64,7.64,133827936X
2021-08-30,7.99,7.99,1338283812
2022-12-14,10.79,10.79,1338283812
2022-03-01,5.99,5.99,1338298798
2021-05-04,4.78,4.78,1338305816
2022-02-10,5.0,5.0,1338329502
2022-07-22,5.0,5.0,1338329502
2021-12-05,6.48,6.4799999999999995,1338535625
2021-12-05,6.48,6.4799999999999995,1338535625
2022-04-15,6.48,6.4799999999999995,1338535625
2022-07-08,6.48,6.4799999999999995,1338535625
2022-08-16,6.48,6.4799999999999995,1338535625
2022-11-26,6.48,6.4799999999999995,1338535625
2023-02-12,8.49,8.490000000000002,1338741047
2022-05-31,15.89,15.89,1368013619
2021-11-28,6.47,6.47,1368013996
2022-01-20,33.02,33.02000000000001,1368053092
2022-04-05,29.7,29.700000000000006,1368053092
2022-11-12,7.29,7.29,1400032717
2023-01-17,11.39,11.389999999999999,1400033438
2021-05-02,8.83,8.83,1400078458
2022-11-25,13.99,13.99,1400078776
2021-11-05,19.14,19.14,1400218918
2019-09-16,10.25,10.25,1401948367
2020-04-07,24.98,17.99,1401956882
2021-08-29,17.96,17.96,1402781067
2019-10-25,5.99,5.990000000000001,1405853093
2022-05-14,7.6,7.6,1416902724
2022-07-10,9.25,9.250000000000002,1416968296
2022-07-25,9.25,9.250000000000002,1416968296
2021-04-16,9.89,9.89,1416989382
2019-07-06,11.75,11.75,1419726471
2021-06-15,7.18,7.18,1419729616
2020-08-10,14.39,14.39,1419740830
2022-11-20,8.78,8.78,1419741977
2022-04-16,2.86,2.860000000000003,1419752324
2021-06-30,21.33,21.33,1421578816
2022-07-30,5.99,5.99,1421582694
2022-08-23,5.99,5.99,1421582694
2022-07-01,8.99,8.99,1421585642
2020-07-23,15.0,15.0,1421589613
2022-03-03,7.36,7.36,1423106873
2022-03-06,7.39,7.390000000000001,1423183053
2022-11-20,9.0,9.0,1423190874
2023-01-12,8.91,8.91,1423642368
2022-12-27,8.9,8.9,1426307047
2020-09-03,9.99,9.990000000000002,1426310145
2022-02-07,8.99,8.990000000000002,1426310145
2019-03-03,15.63,15.17,1438010699
2021-01-06,7.99,7.99,1441310215
2022-07-26,11.69,11.69,1441316698
2022-12-05,9.09,9.09,1441316698
2021-02-06,8.99,8.99,1441322108
2022-07-30,5.95,5.95,1441324089
2021-03-22,7.95,7.949999999999999,1441328378
2022-09-30,2.95,2.95,1441328564
2022-09-02,9.89,9.89,1441331336
2021-03-03,10.0,10.0,1442402970
2021-12-08,15.49,15.49,1442402970
2022-02-13,8.75,8.75,1449489753
2022-12-18,8.75,8.75,1449489753
2018-11-28,10.49,10.490000000000002,1449492975
2021-12-02,9.52,9.520000000000001,1449492975
2021-02-13,8.99,8.989999999999998,1449494862
2022-04-06,4.99,4.989999999999999,1449494862
2021-03-06,10.89,10.89,1449499724
2022-07-28,10.99,10.99,145055332X
2022-07-28,7.26,6.28,1450882560
2022-11-15,16.43,16.429999999999996,1451627289
2021-01-05,19.76,19.76,1452102279
2021-10-05,7.99,7.990000000000001,1452136467
2022-07-23,20.49,20.49,1452145032
2021-12-08,12.06,12.060000000000002,1452164622
2021-12-14,15.19,15.19,1452167230
2021-08-08,7.95,7.949999999999999,1454914181
2022-09-20,5.94,5.9399999999999995,1455570249
2022-10-27,17.99,17.990000000000002,1465451439
2020-07-31,14.22,14.220000000000002,1473204305
2022-12-15,11.4,11.400000000000002,147674355X
2022-01-09,14.59,14.59,1476763836
2022-01-23,11.39,11.39,1476776245
2023-02-12,6.0,6.0,1476785635
2021-11-26,7.99,7.990000000000002,1481457047
2021-10-12,5.07,5.07,1481463349
2020-07-15,5.0,5.0,1481480995
2021-06-15,4.78,4.78,1481480995
2022-10-28,3.73,3.73,1481497677
2020-01-13,15.81,15.810000000000002,1483380610
2022-08-03,7.79,7.79,148380870X
2021-04-30,10.79,10.790000000000001,1483808718
2022-05-16,10.49,10.490000000000002,1483808769
2021-03-08,5.65,5.65,1484726383
2021-12-01,10.97,10.969999999999999,1484781422
2023-03-07,28.99,28.99,1491954388
2022-08-22,8.11,8.11,1492600970
2023-02-09,8.9,8.9,1492632910
2021-10-08,5.49,5.489999999999999,1492669733
2021-12-21,5.49,5.489999999999999,1492669733
2022-02-11,5.49,5.489999999999999,1492669733
2022-07-12,5.22,5.489999999999999,1492669733
2022-07-21,5.22,5.489999999999999,1492669733
2022-08-17,5.22,5.489999999999999,1492669733
2022-07-18,7.19,7.190000000000001,1492671215
2022-04-05,5.69,5.69,1492680117
2022-04-11,5.69,5.69,1492680117
2023-01-30,8.79,8.789999999999997,1492693588
2019-07-13,53.92,53.919999999999995,1496349482
2022-12-06,4.99,4.48,1497202388
2020-06-26,9.19,9.19,1501126075
2022-04-06,15.24,15.24,1501142976
2022-02-26,15.29,15.29,1501143557
2020-02-07,16.49,16.49,1501147765
2022-12-16,14.69,14.690000000000001,1501147765
2021-04-22,7.42,7.42,1501164767
2021-06-03,17.78,17.78,1501169718
2022-01-01,17.49,17.489999999999995,1501169718
2020-05-07,20.0,20.0,1501181416
2020-11-18,6.79,6.79,1503711064
2020-05-04,7.95,7.949999999999999,1505063825
2021-01-04,10.49,10.490000000000007,1506250653
2021-01-31,27.85,22.02,1506326579
2023-01-10,34.95,34.95,1506391575
2022-10-08,7.99,7.99,1510730885
2021-11-22,5.98,5.98,1519531540
2022-01-10,13.99,13.99,1523091169
2022-08-23,21.95,21.950000000000003,1523504463
2022-09-19,21.95,21.950000000000003,1523504463
2021-05-24,9.99,9.990000000000002,152350448X
2021-07-20,9.99,9.990000000000002,152350448X
2021-09-10,5.95,5.95,1523506237
2022-04-19,2.98,2.979999999999999,1524715123
2022-11-28,2.98,2.979999999999999,1524715123
2019-08-23,10.99,10.989999999999998,152473165X
2022-08-08,5.08,5.08,1524738190
2022-05-29,3.52,12.49,1524746029
2019-03-02,16.97,16.97,1524757977
2020-12-19,16.8,16.8,152475921X
2021-01-11,12.67,12.669999999999998,1524762946
2021-01-12,7.99,7.990000000000001,1524770078
2022-08-04,4.99,4.99,1524785997
2023-03-01,5.99,4.99,1524785997
2021-08-20,11.0,10.999999999999998,1524797677
2023-02-20,5.48,5.480000000000002,1524798622
2020-12-26,9.94,9.940000000000001,1524857297
2021-06-18,14.55,14.39,1524857661
2022-12-08,27.75,27.750000000000004,1531129161
